,ID,Data,Produto,Categoria,Quantidade,Preço
0,1,24/11/2023,Fone de Ouvido,Eletrônicos,3.0,383.7
1,2,30/10/2023,Calça Jeans,Vestuário,4.0,86.56
2,3,07/10/2023,Calça Jeans,Vestuário,28.0,178.83
3,4,23/05/2023,Monitor,Eletrônicos,27.0,2414.43
4,5,23/01/2023,Marcador,Papelaria,58.0,18.41
5,7,21/02/2023,Tênis,Vestuário,35.0,508.07
6,8,16/12/2023,Livro,Papelaria,9.0,125.73
7,9,24/11/2023,Estojo,Papelaria,71.0,18.78
8,10,25/07/2023,Micro-ondas,Eletrodomésticos,8.0,489.88
9,11,26/11/2023,Vestido,Vestuário,18.0,169.2
10,12,24/07/2023,Camiseta,Vestuário,28.0,99.79
11,13,23/03/2023,Capacete,Esportes,87.0,268.86
12,14,06/01/2023,Caneta,Papelaria,92.0,4.06
13,15,22/03/2023,Vestido,Vestuário,0.0,479.22
14,16,17/11/2023,Fogão,Eletrodomésticos,81.0,1769.16
15,17,01/01/2023,Estante,Móveis,41.0,1232.91
16,18,04/05/2023,Toalha,Decoração,72.0,96.29
17,19,07/03/2023,Caneta,Papelaria,60.0,19.04
18,20,20/12/2023,Mouse,Eletrônicos,91.0,82.99
19,21,26/04/2023,Tablet,Eletrônicos,43.0,748.38
20,22,04/02/2023,Toalha,Decoração,4.0,90.17
21,23,20/10/2023,Sofá,Móveis,60.0,1971.99
22,24,30/07/2023,Vestido,Vestuário,93.0,74.38
23,25,25/02/2023,Geladeira,Eletrodomésticos,24.0,2760.84
24,26,15/08/2023,Capacete,Esportes,70.0,139.16
25,27,02/05/2023,Teclado,Eletrônicos,52.0,171.41
26,28,16/05/2023,Tapete,Decoração,100.0,649.59
27,29,07/09/2023,Monitor,Eletrônicos,24.0,1093.42
28,30,27/10/2023,Boné,Vestuário,64.0,139.52
29,31,04/02/2023,Caneta,Papelaria,32.0,9.27
30,32,03/12/2023,Sofá,Móveis,72.0,3091.13
